City,Zip_Code,SSN
Uryupinsk,403140,513-08-7993
Xiangcheng,,857-52-6890
Grebenskaya,366101,351-53-3795
Dokshytsy,,560-59-7923
Goz Béïda,,185-15-8228
Chishui,,275-11-0115
Shinan,,625-62-7246
Lagoa,8400-305,260-64-9650
Chengxi,,693-90-7233
Qesarya,,388-45-0328
